cve_periodo,cve_institucion,cve_estado,cve_TEC,dat_id_credito_met_cnbv,dat_rfc,dat_responsabilidad_total
201611,40113,24,1,26,21,10076976
201611,40156,6,4,1,1,18499398
201611,40113,22,3,1,1,9002206
201611,40152,4,4,1,1,60106455
201611,40154,14,2,32,23,67397486
201611,5,19,5,4,2,1281156992
201611,40154,5,2,6,2,18107708
201611,40154,6,4,1,1,10668470
201611,40112,21,4,12,6,771313728
201611,40112,22,3,165,1,7122371
201611,40014,3,5,14,1,659099760
201611,40012,9,1,71013,49933,22968875195
201611,40059,20,4,4,2,141768930
201611,40058,21,2,39,26,100618186
201611,40012,6,4,1094,14,1785764819
201611,40059,23,1,1,1,10057761
201611,40058,22,1,290,227,198658455
201611,40112,19,3,20,5,19630875
201611,40014,4,4,35,9,1792756278
201611,40113,25,3,2,1,4272902
201611,40108,14,1,2,1,16290614
201611,40072,27,1,280,212,98229165
201611,40154,8,2,20,13,65356509
201611,40156,11,2,2,2,24476363
201611,40131,19,3,40,18,100550263
201611,40156,9,4,23,21,863692514
201611,40113,11,3,5,4,14948414
201611,40042,19,2,14,9,30856476
201611,40044,21,2,30,26,143786582
201611,40108,15,4,3,3,77311249
201611,40112,14,4,132,20,784198370
201611,40154,8,4,11,8,164815203
201611,40012,4,2,131,69,129264137
201611,40138,3,4,4,1,79834184
201611,40014,2,2,535,350,709922883
201611,40014,3,1,365,307,237359612
201611,40112,1,2,1,1,10032472
201611,40036,9,4,894,157,84906584898
201611,40150,4,4,8,1,24041008
201611,40014,25,3,120,51,563012225
201611,40154,16,4,3,1,74630338
201611,40012,27,3,103,23,130286293
201611,40012,28,2,546,298,492961518
201611,40036,10,3,14,3,39581197
201611,40014,23,2,275,175,428691077
201611,40152,14,1,3,1,35212807
201611,40037,10,4,1,1,208465293
201611,40113,4,2,15,10,146873830
201611,40058,8,3,40,24,108959967
201611,40036,12,1,94,82,6377881
201611,40036,11,2,127,98,85260953
201611,40072,14,2,3788,2020,3133772054
201611,40012,26,4,1133,55,3370486318
201611,40030,5,2,424,87,263452514
201611,40012,24,3,1029,24,183420308
201611,40113,32,1,79,79,35747490
201611,40128,13,3,13,1,20447431
201611,40156,14,4,11,10,461227169
201611,40152,19,3,45,27,233764538
201611,40014,3,3,32,4,27948037
201611,40042,1,3,2,2,3509847
201611,40014,26,3,103,35,428355097
201611,40012,28,3,503,42,294149068
