cve_periodo,cve_institucion,sector,plazo_venc,plazo,tasa,cve_tipo_moneda
201512,040036,15,48.33,62.48,5.01,1
201612,040002,4,19.98,25.86,2.53,1
201512,040002,9,17.69,24.14,1.69,1
201512,040044,8,52.16,58.29,1.15,1
201612,040014,7,49.86,74.13,4.31,1
201612,040002,10,39.68,50.74,1.98,1
201512,040014,23611,53.51,44.86,3.83,1
201612,040014,5999,75,85.42,3.9,1
201612,040002,9,17.18,25.38,2.36,1
201612,040002,3,24.17,32.82,2.72,1
201612,040014,23611,76.72,78.39,4.28,1
201612,040021,11,22.73,28.58,3.97,1
201512,040002,7,64.48,79.05,3.07,1
201612,040021,3,26.09,32.32,3.61,1
201612,040036,4,51.03,64.54,6.75,1
201512,040014,22,43.71,51.15,4.24,1
201512,040014,8,31.71,39.64,1.65,1
201612,040072,23611,28.44,40.61,6.59,1
201512,040014,5,54.39,62.33,3.52,1
201612,040021,20,18.97,26.4,4.59,1
201512,040012,14,37.83,48.41,3.1,1
201512,040012,8,24.98,31.97,2.42,1
201612,040072,22,57.27,65.19,3.91,1
201612,040002,1,25.36,33.44,2.86,1
201512,040044,1,41.39,57.27,3.92,1
201612,040002,23611,19.27,51.1,3.69,1
201512,040012,11,27.99,35.63,2.53,1
201512,040002,8,19.83,26.67,1.56,1
201612,040036,23611,37.57,63.48,5.98,1
201612,040021,15,29.94,38.43,4.08,1
201612,040036,16,15.58,24.78,5.69,1
201512,040012,12,69.65,83.37,3.77,1
201612,040072,1,29.3,41.68,5.36,1
201512,040036,16,47.83,79.52,5.65,1
201512,040012,15,56.48,72.63,2.95,1
201612,040014,3,23.87,31.72,4.62,1
201512,040036,10,82.79,107.82,4.79,1
201612,040036,5999,184.16,219.8,5.68,1
201512,040012,4,21.7,34.75,2.18,1
201612,040012,2,56.92,97.13,3.41,1
201512,040014,9,4.28,5.9,3.84,1
201512,040014,15,38.97,48.31,3.4,1
201612,040012,10,73.42,98.09,3.52,1
201612,040072,8,20.31,29.07,2.87,1
201512,040072,3,30.38,39.48,3.93,1
201612,040072,11,31.2,44.56,3.69,1
201512,040002,21,15.27,25.78,1.62,1
201512,040014,13,15.33,18.86,0.2,1
201512,040021,5999,39.21,57.86,2.97,1
201612,040072,13,29.08,38.91,4.69,1
201512,040044,16,36.23,54.04,2.06,1
201612,040036,9,62.63,83.51,4.09,1
201512,040012,2,47,76.66,3.13,1
201612,040072,16,60.35,75.45,4.87,1
201512,040021,9,16.24,25.83,2.6,1
201612,040012,3,24.27,32.18,4.21,1
201512,040012,20,19.24,26.76,3.83,1
201612,040014,14,11.01,13.83,2.15,1
201612,040014,8,30.43,41.17,1.75,1
201512,040072,9,35.36,44.23,3.28,1
201612,040014,11,28.44,37.94,3.58,1
201612,040044,7,35.6,58.79,3.72,1
