cve_periodo,cve_institucion,cve_estado,cve_TEC,dat_id_credito_met_cnbv,dat_rfc,MDMC
201512,040021,5,3,41,9,44148521
201512,040021,12,2,17,13,2005565
201612,040014,22,2,19,16,98115339
201512,040044,17,3,1,1,26797522
201512,040021,6,2,23,22,3919361
201612,040044,27,3,2,2,23734196
201612,040014,23,1,51,37,105841884
201512,040014,5,2,20,20,52669621
201512,040036,8,4,1,1,157887
201512,040002,20,3,1,1,2434064
201512,040012,7,2,25,17,27813634
201612,040012,23,3,2,2,8340192
201512,040002,22,1,15,15,9378296
201612,040072,31,4,12,10,229760289
201612,040021,14,4,1258,42,1156687122
201512,040072,6,2,16,14,9748642
201612,040072,6,3,7,6,24890015
201512,040072,4,4,9,3,354017653
201612,040044,15,3,6,6,67262271
201612,040021,14,1,501,366,86930702
201512,040002,11,3,9,6,11906814
201512,040044,25,4,5,5,259647140
201512,040002,10,4,2,2,272000000
201512,040014,9,1,885,753,1133825069
201612,040021,17,1,74,72,5106009
201612,040021,16,2,47,34,19699404
201612,5,21,1,569,432,387373926
201512,040021,25,1,79,76,4168028
201612,040044,21,3,2,2,15325000
201512,5,26,4,1141,79,2841874223
201612,040072,5,4,14,12,66616283
201612,040036,14,2,1,1,3000000
201512,040012,9,3,2086,161,903480734
201512,040021,19,4,9896,36,3056424800
201612,040021,13,2,22,17,2246532
201512,040036,14,4,4,3,361997541
201512,040036,15,3,5,3,29975572
201612,040002,15,1,99,94,98066850
201612,040036,28,3,8,1,850030
201512,040014,31,2,30,20,92078025
201512,040072,30,4,4,3,131700000
201512,040012,2,4,188,21,277912051
201512,040036,11,4,2,1,20753
201612,040002,13,3,2,2,5769400
201512,040072,31,3,1,1,100000
201512,040036,14,1,2,2,1380000
201612,040044,3,1,1,1,70000
201612,040021,17,4,327,2,80605946
201612,040002,14,2,244,227,302934160
201512,040044,8,3,10,9,66700882
201612,040021,18,3,11,2,8356819
201512,040002,22,4,11,9,33954928
201612,040072,20,1,111,103,31378353
201612,040021,28,2,117,64,16437859
201612,5,8,3,191,42,177243512
201512,040002,24,2,37,37,31159411
201612,040012,28,4,730,13,252509742
201612,040072,17,4,10,10,64516406
201512,040014,8,3,18,14,95351812
201612,040044,28,4,3,2,22256349
201512,040072,28,1,130,102,91643286
201512,040036,19,3,1,1,331550
201612,040014,16,4,29,11,291771336
201512,040014,31,3,21,11,27139032
201512,040012,10,3,8,3,12425737
201512,040014,32,2,17,10,14855910
201612,040014,19,1,75,67,245776846
201612,040044,31,1,5,5,19020240
201612,040014,17,3,10,5,44758459
201612,040012,18,1,21,11,17581365
201512,040002,13,4,2,2,16094116
201512,040012,12,3,62,2,33306201
201612,040014,14,4,139,71,1966809207
201512,040021,14,3,411,15,107797568
201512,040021,15,2,195,133,37549005
201512,040012,14,1,412,159,333997124
201612,040002,8,1,20,20,39117248
201612,040072,26,3,11,7,46985143
201612,5,29,2,141,35,37011768
201612,5,30,1,618,513,369559335
201612,5,26,2,550,381,503364219
201512,5,29,4,18,6,142945571
201512,5,31,2,294,189,485553068
201612,040002,21,3,11,7,17750880
201512,040021,25,4,6683,16,616501737
201612,040002,15,3,23,15,55612917
201512,040014,24,4,41,11,357050509
201512,040014,26,2,51,36,81779437
201512,040044,5,4,10,7,69673265
201512,040021,26,3,33,6,52739922
201512,040012,26,4,481,29,907637565
201512,040012,27,3,6,5,14320000
201512,040072,13,4,6,2,136500000
201612,040012,27,4,61,3,42673752
201612,040044,11,4,13,13,360539608
201612,040072,18,2,53,43,35607390
201512,040044,7,2,1,1,27402271
201512,040002,1,1,11,11,3837111
201612,040002,20,4,4,1,3925769
201612,040002,16,2,52,52,75487561
201612,040072,17,3,2,2,1900163
201612,040002,14,4,75,42,1707851628
201612,040044,5,4,16,14,175055457
201512,040044,2,4,14,10,160699916
201612,040002,17,1,20,20,11331062
201512,040002,28,1,11,10,3278042
201512,040014,999,1,2,2,1600000
201512,040002,27,2,30,28,13590076
201512,040021,1,4,502,6,127860106
201512,040072,24,4,6,6,173484200
201512,040072,1,1,28,24,9343259
201512,040021,8,3,18,5,26789216
201512,040002,25,4,50,19,540862751
201512,040044,11,3,3,3,22218796
201612,040044,5,2,7,6,24861060
201512,040072,26,2,36,30,28610951
201512,040021,10,1,89,49,5529418
201612,040036,24,4,2,2,67858200
201612,040014,15,3,29,17,84255795
201612,040012,17,3,18,2,28060000
201612,040012,18,2,50,6,39062606
201612,040002,5,4,71,9,212674427
201512,040012,13,2,41,16,22032453
201612,040072,28,1,270,253,63054844
201512,040021,16,1,150,105,8502025
201512,040002,15,2,364,355,309702027
201612,040002,6,3,3,3,4361810
201512,040014,12,1,31,31,29224264
201512,040044,24,2,3,3,9798253
201512,040036,19,2,10,5,62702328
201612,040072,25,4,61,15,260307031
201612,040014,17,1,19,18,16762493
201612,040012,3,2,5,4,814992
201612,040072,24,2,205,185,66868211
201612,040014,2,1,47,46,61320842
201612,040014,1,2,10,9,52470744
201612,040072,1,3,10,9,18465767
201512,040002,18,3,1,1,1280287
201612,040072,31,2,141,121,61098508
201512,040002,17,4,3,3,62791395
201512,040012,18,2,43,4,15383610
201612,040014,30,3,20,17,105790637
201612,040002,29,4,1,1,5908611
201612,040036,8,3,4,2,1531000
201612,040002,32,1,4,4,624898
