cve_periodo,cve_institucion,Concentracion,Monto_Acumulado,Participacion_Acumulada
201512,040036,Cliente 13,68146708875,0.45
201504,040002,Cliente 15,35747987034,0.1992
201511,040021,Cliente 60,61376284793,0.4995
201509,040021,Cliente 200,92065437767,0.7617
201601,040002,Cliente 120,1.05797E+11,0.4882
201504,040012,Cliente 200,1.63488E+11,0.5528
201605,040021,Cliente 190,1.03573E+11,0.7601
201511,040002,Cliente 1,14099205272,0.0686
201501,040044,Cliente 170,41291203842,0.6911
201605,040021,Cliente 1,4237736254,0.0311
201601,040014,Cliente 6,34288096227,0.1347
201505,040002,Cliente 18,38394134273,0.2069
201512,040014,Cliente 70,89046228076,0.3537
201508,040002,Cliente 140,94395598983,0.4928
201601,040012,Cliente 14,59253646949,0.1744
201602,040072,Cliente 90,92447044686,0.4906
201602,040014,Cliente 2,15901508919,0.0629
201606,040036,Cliente 90,1.4247E+11,0.8918
201602,040002,Cliente 190,1.1851E+11,0.557
201504,040072,Cliente 7,19316126572,0.1144
201508,040021,Cliente 11,23392653948,0.1932
201601,040072,Cliente 80,86781677235,0.4692
201511,040036,Cliente 130,1.30424E+11,0.9244
201501,040044,Cliente 150,39683487475,0.6642
201601,040072,Cliente 1000,1.46277E+11,0.7909
201504,040002,Cliente 2,11922955827,0.0665
201603,040002,Cliente 120,88822939692,0.4459
201612,040072,Cliente 190,1.26245E+11,0.6089
201510,040072,Cliente 40,58014928717,0.3349
201603,040002,Cliente 12,26722418868,0.1341
201511,040021,Cliente 40,50606716439,0.4119
201507,040002,Cliente 6,20906042354,0.1128
201602,040072,Cliente 14,38671433957,0.2052
201506,040014,Cliente 4,25853464526,0.1115
201612,040014,Cliente 14,47946286993,0.174
201601,040036,Cliente 90,1.43925E+11,0.8953
201502,040044,Cliente 400,52148110877,0.8689
201606,040072,Cliente 16,40069118384,0.2123
201607,040002,Cliente 5,19085978518,0.0855
201609,040012,Cliente 8,41061068886,0.1102
201610,040072,Cliente 9,24991864585,0.1293
201506,040072,Cliente 160,92801046496,0.5497
201504,040021,Cliente 30,40800604561,0.3477
201508,040002,Cliente 12,31893662831,0.1665
201507,040014,Cliente 180,1.09702E+11,0.4778
201605,040044,Cliente 11,18979523226,0.2251
201510,040044,Cliente 17,22733776109,0.3037
201604,040021,Cliente 500,1.18036E+11,0.8997
201607,040002,Cliente 90,93510960101,0.4187
201507,040012,Cliente 16,55807011000,0.1863
201605,040021,Cliente 160,98543000392,0.7232
201610,040002,Cliente 160,1.1887E+11,0.5126
201504,040002,Cliente 130,88103256692,0.491
201604,040021,Cliente 4,11987356273,0.0914
201511,040044,Cliente 100,45438314730,0.6006
201610,040036,Cliente 400,1.66489E+11,0.9895
201605,040002,Cliente 1,3706675223,0.018
201505,040072,Cliente 5,14822101784,0.0871
201609,040014,Cliente 400,1.7588E+11,0.6159
201608,040021,Cliente 200,1.00817E+11,0.762
201609,040021,Cliente 8,18991995368,0.1396
201606,040036,Cliente 2,17417169961,0.109
201509,040044,Cliente 150,51095482227,0.6782
201612,040036,Cliente 9,72310978573,0.4079
201606,040044,Cliente 90,47922701908,0.5564
201612,040014,Cliente 8,35593430991,0.1292
201604,040044,Cliente 5,12836118387,0.155
201510,040044,Cliente 160,51852304227,0.6927
201601,040036,Cliente 12,67058480324,0.4171
201611,040012,Cliente 11,47615006819,0.1224
201504,040044,Cliente 9,13306490444,0.213
201609,040044,Cliente 4,12228472388,0.1324
201609,040021,Cliente 70,70004847952,0.5146
201610,040012,Cliente 180,1.82703E+11,0.5022
201607,040014,Cliente 10,45641588528,0.1695
201605,040002,Cliente 5,15727831149,0.0765
201603,040036,Cliente 60,1.28655E+11,0.8187
201601,040044,Cliente 3,11063677051,0.1336
201506,040014,Cliente 19,47337309712,0.2041
201604,040002,Cliente 9,23227500368,0.1172
201602,040014,Cliente 80,97999077798,0.3877
201605,040044,Cliente 6,14281842598,0.1694
201509,040072,Cliente 500,1.22349E+11,0.7115
201504,040044,Cliente 110,37889689120,0.6064
201604,040021,Cliente 8,19298929116,0.1471
201510,040021,Cliente 400,1.0614E+11,0.8673
201601,040021,Cliente 180,96117103631,0.743
201602,040021,Cliente 19,35098520228,0.2702
201609,040021,Cliente 11,23826478695,0.1752
201610,040014,Cliente 50,1.00356E+11,0.35
201509,040021,Cliente 120,79861535068,0.6607
