cve_periodo,cve_institucion,cve_estado,cve_TEC,dat_id_credito_met_cnbv,dat_rfc,dat_responsabilidad_total
201612,040044,23,4,21,13,747996664
201612,040072,2,1,865,656,313423174
201612,040002,11,4,198,59,6352036089
201512,5,4,3,103,20,489260393
201512,5,999,1,73,23,26699660
201512,5,2,5,16,1,413911781
201612,040002,12,3,7,5,16293010
201512,040002,16,1,399,336,200735181
201612,040014,17,1,740,549,473076196
201612,040072,26,3,55,25,215825576
201512,040012,14,1,17279,12946,4559759887
201512,040036,23,1,73,63,38292973
201512,040036,20,1,43,34,6022004
201512,040036,21,3,9,2,9454539
201612,040072,28,1,1267,866,658068891
201612,040036,2,3,3,2,693303
201512,040012,4,2,126,61,131313837
201612,040036,3,2,13,13,1266541
201512,040014,30,3,127,57,514335385
201512,040072,30,4,148,17,3647967267
201512,040014,29,4,6,4,119144054
201612,040072,11,4,44,34,1331447638
201512,040014,32,1,229,166,170082644
201512,040072,32,2,779,447,670839811
201512,040012,31,4,547,33,2293204795
201612,040021,19,5,1,1,8411435
201512,040014,27,3,36,22,224854377
201612,040002,18,1,67,57,16682887
201512,040072,23,2,175,126,153822002
201612,040012,28,1,3373,2474,847227829
201612,040012,19,4,49363,219,56620217687
201512,040072,22,3,29,22,78541877
201612,040014,23,4,168,39,8292736371
201612,040002,10,3,28,13,127799864
201512,040014,26,4,286,39,1273004412
201612,040021,23,4,372,18,2198734925
201612,040012,25,4,31245,64,8634860159
201512,040012,28,4,1027,35,3651462431
201512,040012,2,1,4985,3905,1294211026
201612,040021,25,2,394,182,241941107
201512,040012,29,3,141,6,69654491
201512,040002,2,1,356,296,228186077
201612,040014,24,3,119,22,184540007
201612,040012,21,2,1367,540,894767933
201612,040044,4,1,1,1,27227480
201512,040002,4,3,5,4,34149836
201512,040044,6,4,10,5,711370614
201512,040014,1,2,157,91,242785467
201612,5,32,3,210,33,378689303
201512,5,1,2,2590,820,2181736660
